time,ax,ay,az,aT
3.1190,0.0062,-0.0185,0.0050,0.020
3.1370,-0.0877,-0.0806,-0.2777,0.302
3.1560,-0.0624,0.0095,-0.1863,0.197
3.1750,-0.0362,0.0237,-0.0888,0.099
3.1970,-0.0412,-0.0121,-0.2644,0.268
3.2120,-0.0511,-0.0418,-0.1634,0.176
3.2310,-0.0572,-0.0086,-0.1080,0.123
3.2500,-0.0406,-0.0003,-0.1694,0.174
3.2730,-0.0155,-0.0266,-0.2284,0.230
3.2890,0.0035,0.0164,-0.1189,0.120
3.3130,-0.0493,-0.0086,-0.2548,0.260
3.3260,-0.0877,0.0200,-0.0803,0.121
3.3450,-0.0038,-0.0482,-0.1177,0.127
3.3640,-0.0656,-0.0269,-0.1814,0.195
3.3830,-0.0382,-0.0067,-0.2416,0.245
3.4030,-0.0409,-0.0080,-0.1105,0.118
3.4220,-0.0657,-0.0329,-0.1790,0.194
3.4540,-0.0485,0.0006,-0.0636,0.080
3.4600,-0.0731,0.0265,-0.2187,0.232
3.4780,-0.0117,-0.0498,-0.1562,0.164
3.4970,-0.0437,-0.0308,-0.2031,0.210
3.5160,-0.0263,-0.0067,-0.1418,0.144
3.5350,-0.0503,-0.0827,-0.2140,0.235
3.5550,-0.0432,-0.0066,-0.1562,0.162
3.5740,-0.0681,0.0254,-0.1707,0.185
3.5970,-0.0264,0.0386,-0.1189,0.128
3.6120,-0.0263,-0.0410,-0.3090,0.313
3.6300,-0.0197,-0.0875,-0.0997,0.134
3.6490,-0.0643,-0.0173,-0.1454,0.160
3.6690,-0.0434,0.0624,-0.1442,0.163
3.6870,-0.0650,-0.0245,-0.2681,0.277
3.7070,-0.0330,-0.0733,-0.1935,0.210
3.7310,-0.0131,0.0170,-0.0793,0.082
3.7440,-0.0319,0.0040,-0.2236,0.226
3.7630,-0.1342,-0.0578,-0.2585,0.297
3.7820,0.0151,-0.0401,-0.0829,0.093
3.8010,-0.0808,0.0364,-0.1719,0.193
3.8210,-0.0190,-0.0244,-0.2116,0.214
3.8390,-0.0489,0.0361,-0.1322,0.145
3.8660,-0.0570,-0.0781,-0.2369,0.256
3.8770,-0.0506,-0.0506,-0.1130,0.134
3.8960,-0.0207,-0.0018,-0.1250,0.127
3.9160,-0.0128,0.0363,-0.3427,0.345
3.9340,-0.0535,-0.0306,-0.1105,0.127
3.9530,-0.0586,0.0027,-0.0083,0.059
3.9760,-0.0525,-0.0756,-0.2585,0.274
3.9990,-0.0020,0.0387,-0.2092,0.213
4.0120,0.0107,-0.0234,-0.0240,0.035
4.0290,-0.0989,-0.0115,-0.3656,0.379
4.0480,0.0027,-0.0304,-0.1046,0.109
4.0670,-0.0640,-0.0117,-0.1046,0.123
4.0870,0.0136,-0.0058,-0.3223,0.323
4.1070,-0.0893,0.0252,-0.1202,0.152
4.1340,0.0012,-0.0286,-0.2032,0.205
4.1450,-0.0465,-0.0083,-0.2105,0.216
4.1610,-0.0052,-0.0334,-0.1431,0.147
4.1820,-0.0641,0.0023,-0.2369,0.245
4.2000,-0.0307,-0.0072,-0.2249,0.227
4.2190,-0.0611,-0.0283,-0.0180,0.070
4.2380,0.0242,-0.0047,-0.2513,0.253
4.2580,-0.1000,-0.0047,-0.1671,0.195
4.2880,0.0213,0.0083,-0.1262,0.128
4.2980,-0.0737,-0.0547,-0.0697,0.115
4.3140,-0.0358,-0.0130,-0.3187,0.321
4.3330,-0.0368,0.0000,-0.1058,0.112
4.3520,-0.0378,-0.0132,-0.1612,0.166
4.3710,-0.0188,-0.0312,-0.1479,0.152
4.3900,-0.0576,0.0187,-0.2429,0.250
4.4100,-0.0612,0.0043,-0.2213,0.230
4.4280,-0.0007,-0.0363,-0.0842,0.092
4.4470,-0.0816,-0.0566,-0.1972,0.221
4.4690,-0.0978,0.0091,-0.3175,0.332
4.4860,0.0069,-0.0006,-0.0722,0.072
4.5040,-0.0466,0.0398,-0.1347,0.148
4.5220,-0.0107,-0.0291,-0.1985,0.201
4.5420,-0.0744,-0.0362,-0.2177,0.233
4.5620,-0.0746,-0.0362,-0.1142,0.141
4.5800,-0.0440,0.0340,-0.1227,0.135
4.5990,0.0474,-0.0266,-0.2201,0.227
4.6190,-0.1095,-0.0313,-0.1311,0.174
4.6380,-0.0326,0.0259,-0.0926,0.102
4.6560,-0.0618,-0.0016,-0.2189,0.227
4.6750,-0.0416,-0.0633,-0.1467,0.165
4.6940,0.0124,0.0070,-0.2285,0.229
4.7140,-0.0523,-0.0418,-0.1997,0.211
4.7320,-0.0335,0.0035,-0.1515,0.155
4.7520,-0.0470,-0.0061,-0.0866,0.099
4.7700,-0.0346,0.0043,-0.1997,0.203
4.7880,0.0343,-0.0254,-0.1672,0.173
4.8080,-0.0729,-0.0121,-0.2526,0.263
4.8280,-0.0426,-0.0109,-0.0698,0.082
4.8460,0.0201,-0.0039,-0.0722,0.075
4.8650,-0.1104,-0.0039,-0.2310,0.256
4.8840,0.0290,-0.0075,-0.1215,0.125
4.9040,-0.0228,-0.0246,-0.0782,0.085
4.9270,-0.1030,0.0159,-0.2430,0.264
4.9410,-0.0378,-0.0078,-0.1540,0.159
4.9600,-0.0197,-0.0364,-0.0794,0.090
4.9780,-0.0648,-0.0221,-0.2130,0.224
4.9980,-0.0173,-0.0112,-0.1095,0.111
5.0160,-0.1164,0.0077,-0.2466,0.273
5.0360,-0.0129,-0.0243,-0.2226,0.224
5.0660,-0.0502,-0.0205,-0.0806,0.097
5.0740,-0.0534,-0.0477,-0.1901,0.203
5.0920,-0.0856,-0.0072,-0.1889,0.208
5.1110,-0.0349,-0.0239,-0.0975,0.106
5.1320,-0.0322,0.0273,-0.1612,0.167
5.1500,-0.0562,-0.0096,-0.1805,0.189
5.1680,-0.0661,-0.0132,-0.0903,0.113
5.1960,-0.0273,-0.0821,-0.0951,0.129
5.2080,-0.0224,0.0277,-0.0758,0.084
5.2250,-0.0836,-0.0641,-0.2394,0.262
5.2450,-0.0554,0.0205,-0.0229,0.063
5.2630,-0.0363,0.0288,-0.1913,0.197
5.2820,-0.0935,-0.0011,-0.1119,0.146
5.3030,-0.0270,-0.0809,-0.0397,0.094
5.3270,0.0001,-0.0450,-0.1901,0.195
5.3390,-0.1194,0.0550,-0.2009,0.240
5.3590,-0.0289,0.0432,-0.0698,0.087
5.3780,-0.1131,-0.0628,-0.1408,0.191
5.3970,-0.0224,-0.0128,-0.1708,0.173
5.4160,-0.0014,0.0229,-0.0866,0.090
5.4350,-0.0891,-0.0628,-0.1877,0.217
5.4540,-0.0292,-0.0577,-0.0241,0.069
5.4790,-0.0727,0.0551,-0.1287,0.158
5.4910,-0.0760,0.0503,-0.1528,0.178
5.5100,-0.0022,-0.0166,-0.1287,0.130
5.5300,-0.0464,-0.0738,-0.0686,0.111
5.5500,-0.0255,-0.0774,-0.2033,0.219
5.5680,-0.0283,-0.0095,-0.0156,0.034
5.5880,-0.0590,0.0415,-0.1997,0.212
5.6130,-0.0259,-0.0323,-0.1167,0.124
5.6240,-0.0702,0.0000,-0.1191,0.138
5.6430,-0.0093,-0.0513,-0.1504,0.159
5.6630,-0.0155,-0.0419,-0.0217,0.050
5.6820,-0.0472,0.0153,-0.2358,0.241
5.7010,-0.0971,-0.0132,-0.1552,0.184
5.7200,-0.0311,-0.0061,-0.0084,0.033
5.7390,-0.0310,-0.0037,-0.1384,0.142
5.7710,-0.0288,-0.0096,-0.1949,0.197
5.7770,-0.0501,-0.0596,-0.1131,0.137
5.7960,-0.0645,-0.0097,-0.0890,0.110
5.8140,-0.0716,0.0166,-0.0505,0.089
5.8330,-0.0428,-0.0133,-0.2887,0.292
5.8520,-0.0348,0.0271,-0.0770,0.089
5.8710,-0.0321,-0.0230,-0.1540,0.159
5.9040,-0.0219,-0.0430,-0.0975,0.109
5.9090,-0.0897,-0.0108,-0.1636,0.187
5.9290,0.0029,0.0150,-0.1312,0.132
5.9470,-0.0711,-0.0372,-0.0927,0.123
5.9660,-0.0534,0.0082,-0.0903,0.105
5.9860,-0.0394,0.0248,-0.1312,0.139
6.0040,-0.0427,0.0023,-0.1480,0.154
6.0370,-0.0509,-0.0286,-0.0927,0.110
6.0430,-0.0556,-0.0476,-0.1552,0.172
6.0610,-0.0548,-0.0034,-0.1240,0.136
6.0800,-0.0100,-0.0037,-0.0590,0.060
6.1000,-0.0909,0.0060,-0.0723,0.116
6.1190,-0.0320,0.0214,-0.2334,0.237
6.1620,-0.0809,-0.0489,-0.0530,0.108
6.1620,-0.0617,-0.0739,-0.1143,0.149
6.1750,-0.0445,-0.0141,-0.0614,0.077
6.1940,-0.0696,0.0165,-0.1505,0.167
6.2170,0.0239,0.0103,-0.0542,0.060
6.2490,-0.0988,0.0006,-0.0314,0.104
6.2510,-0.1067,0.0147,-0.1818,0.211
6.2740,0.0132,-0.0390,-0.1517,0.157
6.2890,-0.0133,-0.0604,-0.0675,0.092
6.3080,-0.0552,0.0196,-0.1830,0.192
6.3270,-0.0546,0.0314,-0.0820,0.103
6.3460,-0.0557,0.0050,-0.1024,0.117
6.3660,-0.0568,-0.0368,-0.1433,0.158
6.3840,-0.0083,-0.0036,-0.1361,0.136
6.4040,-0.0574,-0.0392,-0.1349,0.152
6.4230,-0.0449,0.0026,-0.1181,0.126
6.4400,-0.0590,0.0382,0.0563,0.090
6.4600,-0.0480,-0.0167,-0.2072,0.213
6.4790,-0.1036,-0.0417,-0.1530,0.189
6.5020,0.0027,0.0119,-0.0158,0.020
6.5340,-0.0258,-0.0212,-0.1374,0.141
6.5360,-0.0958,-0.0296,-0.2420,0.262
6.5550,-0.0572,-0.0404,0.0431,0.082
6.5730,-0.0573,0.0415,-0.0387,0.081
6.5930,-0.0732,0.0056,-0.1758,0.191
6.6120,-0.0489,-0.0551,-0.2480,0.259
6.6300,-0.0382,-0.0418,-0.0338,0.066
6.6500,-0.0761,0.0335,-0.1169,0.143
6.6700,-0.1117,-0.0166,-0.1313,0.173
6.6880,-0.0314,-0.0298,-0.0651,0.078
6.7060,-0.0846,0.0009,-0.1542,0.176
6.7260,-0.0146,0.0108,-0.1109,0.112
6.7450,-0.0539,-0.0156,-0.2023,0.210
6.7640,-0.0896,-0.0038,-0.0579,0.107
6.7840,-0.0704,-0.0491,-0.0543,0.102
6.8080,-0.0701,0.0105,-0.1842,0.197
6.8220,-0.0547,-0.0180,-0.1602,0.170
6.8390,-0.0086,-0.0132,-0.0471,0.050
6.8590,-0.0645,0.0117,-0.0519,0.084
6.8770,-0.0298,-0.0321,-0.1145,0.123
6.8970,-0.0700,-0.0335,-0.1602,0.178
6.9160,-0.0657,-0.0037,-0.0170,0.068
6.9370,-0.0585,-0.0296,-0.2251,0.235
6.9540,-0.0262,-0.0246,0.0130,0.038
6.9730,-0.0163,-0.0483,-0.1831,0.190
6.9920,-0.0447,0.0039,-0.0892,0.100
7.0110,-0.0552,0.0312,-0.0327,0.071
7.0290,-0.0908,-0.0294,-0.1638,0.190
7.0490,-0.0274,-0.0874,-0.1097,0.143
7.0670,-0.0300,-0.0125,-0.0916,0.097
7.0870,-0.0421,0.0423,-0.0568,0.082
7.1070,-0.0515,-0.0507,-0.1434,0.161
7.1250,-0.0608,-0.0301,-0.1470,0.162
7.1450,-0.0334,0.0280,-0.1013,0.110
7.1630,-0.0846,-0.0336,-0.1614,0.185
7.1830,-0.0154,-0.0313,-0.0857,0.093
7.2020,-0.0728,-0.0336,-0.0508,0.095
7.2220,-0.0527,-0.0134,-0.2156,0.222
7.2390,-0.0715,0.0211,-0.0122,0.076
7.2590,-0.0817,0.0130,-0.2264,0.241
7.2770,-0.0076,0.0084,-0.0219,0.025
7.2960,-0.0875,-0.0584,-0.0736,0.128
7.3140,-0.0389,-0.0763,-0.0640,0.107
7.3340,-0.0891,0.0356,-0.0472,0.107
7.3530,-0.0492,0.0592,-0.2084,0.222
7.3730,-0.0854,-0.0598,-0.0508,0.116
7.3920,-0.0700,-0.0634,-0.0905,0.131
7.4100,-0.0535,0.0560,-0.1266,0.148
7.4290,-0.1013,0.0080,-0.1158,0.154
7.4490,-0.0486,-0.0738,-0.0448,0.099
7.4730,-0.0766,-0.0286,-0.1398,0.162
7.4860,-0.0411,0.0120,-0.1530,0.159
7.5040,-0.0678,0.0194,-0.2239,0.235
7.5240,-0.0848,-0.0330,-0.0928,0.130
7.5420,-0.0855,-0.0462,-0.1036,0.142
7.5620,-0.0065,-0.0214,-0.0520,0.057
7.5860,-0.0632,0.0076,-0.1662,0.178
7.6000,-0.0016,-0.0058,-0.0183,0.019
7.6190,-0.1540,-0.0058,-0.2119,0.262
7.6380,-0.0408,-0.0340,-0.0531,0.075
7.6570,0.0078,0.0384,-0.0327,0.051
7.6770,-0.0952,-0.0175,-0.1963,0.219
7.6950,-0.0348,-0.0544,-0.0832,0.105
7.7300,-0.0497,-0.0185,0.0010,0.053
7.7330,-0.0598,0.0069,-0.2336,0.241
7.7510,-0.0768,0.0282,-0.1157,0.142
7.7700,-0.0673,0.0080,-0.1193,0.137
7.7900,0.0005,-0.0513,-0.1205,0.131
7.8090,-0.0571,-0.0248,-0.1241,0.139
7.8280,-0.1105,-0.0178,-0.1638,0.198
7.8470,-0.0065,0.0300,-0.0026,0.031
7.8760,-0.0854,0.0014,-0.1686,0.189
7.8850,-0.0383,-0.0282,-0.0664,0.082
7.9030,-0.0707,-0.0247,-0.0856,0.114
7.9220,-0.0092,-0.0007,-0.1037,0.104
7.9420,-0.0395,-0.0125,-0.0868,0.096
7.9610,-0.0322,-0.0244,-0.0905,0.099
7.9830,-0.0700,-0.0161,-0.0832,0.110
8.0060,-0.0431,0.0398,-0.0652,0.088
8.0170,-0.0697,-0.0183,-0.1410,0.158
8.0370,-0.0309,-0.0516,-0.1121,0.127
8.0560,-0.0526,-0.0302,-0.0508,0.079
8.0750,-0.0614,0.0149,-0.0748,0.098
8.0950,-0.0585,-0.0039,-0.1206,0.134
8.1120,-0.0939,-0.0137,-0.2589,0.276
8.1320,-0.0340,0.0031,-0.0435,0.055
8.1580,-0.0652,-0.0312,-0.0905,0.116
8.1690,-0.0271,-0.0075,-0.1916,0.194
8.1880,-0.1210,0.0056,-0.1410,0.186
8.2080,-0.0533,-0.0015,-0.0544,0.076
8.2260,-0.0788,-0.0647,-0.1903,0.216
8.2470,-0.0456,0.0617,-0.0748,0.107
8.2660,-0.0575,0.0281,-0.1530,0.166
8.2940,-0.0623,-0.0982,-0.1218,0.168
8.3020,-0.0812,-0.0442,-0.0965,0.134
8.3210,-0.0427,0.0593,-0.1037,0.127
8.3400,-0.0897,0.0055,-0.1976,0.217
8.3590,-0.0149,-0.0767,-0.0424,0.089
8.3790,-0.0885,0.0177,-0.0977,0.133
8.3980,-0.0289,0.0142,-0.2300,0.232
8.4330,-0.0814,-0.0420,-0.1109,0.144
8.4350,-0.0657,-0.0776,-0.0664,0.121
8.4550,-0.0286,0.0120,-0.2204,0.223
8.4730,-0.0632,0.0395,-0.1362,0.155
8.4920,-0.0551,0.0001,-0.0135,0.057
8.5120,-0.1069,-0.0308,-0.2589,0.282
8.5300,-0.0467,-0.0292,-0.1157,0.128
8.5500,-0.0078,-0.0553,-0.1542,0.164
8.5890,-0.0460,0.0019,-0.1266,0.135
8.5900,-0.0890,-0.0218,-0.1073,0.141
8.6060,-0.0522,0.0011,-0.1735,0.181
8.6250,-0.0345,0.0283,-0.1507,0.157
8.6440,-0.0361,0.0080,-0.0604,0.071
8.6630,-0.0657,-0.0537,-0.2072,0.224
8.6820,0.0002,-0.0584,-0.0581,0.082
8.7010,-0.0765,-0.0002,-0.1675,0.184
8.7200,-0.0385,0.0214,-0.0821,0.093
